Unnamed Project,,Replications:,30,,,,,,,
Replication 1,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,56.8802,,,,,(Insufficient),,56.8802,56.8802
Movie2SoldOutTime,,32.8137,,,,,(Insufficient),,32.8137,32.8137
Movie3SoldOutTime,,65.5625,,,,,(Insufficient),,65.5625,65.5625
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,1.0000,,,,,,
Record Reneging Movie2 Customers,,,,1.0000,,,,,,
Record Reneging Movie3 Customers,,,,0,,,,,,
Replication 10,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,30.7127,,,,,(Insufficient),,30.7127,30.7127
Movie2SoldOutTime,,44.9458,,,,,(Insufficient),,44.9458,44.9458
Movie3SoldOutTime,,51.6479,,,,,(Insufficient),,51.6479,51.6479
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,0,,,,,,
Record Reneging Movie2 Customers,,,,0,,,,,,
Record Reneging Movie3 Customers,,,,1.0000,,,,,,
Replication 11,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,32.0818,,,,,(Insufficient),,32.0818,32.0818
Movie2SoldOutTime,,44.2753,,,,,(Insufficient),,44.2753,44.2753
Movie3SoldOutTime,,50.8345,,,,,(Insufficient),,50.8345,50.8345
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,0,,,,,,
Record Reneging Movie2 Customers,,,,0,,,,,,
Record Reneging Movie3 Customers,,,,1.0000,,,,,,
Replication 12,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,38.7428,,,,,(Insufficient),,38.7428,38.7428
Movie2SoldOutTime,,36.1357,,,,,(Insufficient),,36.1357,36.1357
Movie3SoldOutTime,,45.9158,,,,,(Insufficient),,45.9158,45.9158
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,2.0000,,,,,,
Record Reneging Movie2 Customers,,,,1.0000,,,,,,
Record Reneging Movie3 Customers,,,,0,,,,,,
Replication 13,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,45.7660,,,,,(Insufficient),,45.7660,45.7660
Movie2SoldOutTime,,65.7268,,,,,(Insufficient),,65.7268,65.7268
Movie3SoldOutTime,,50.3694,,,,,(Insufficient),,50.3694,50.3694
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,3.0000,,,,,,
Record Reneging Movie2 Customers,,,,0,,,,,,
Record Reneging Movie3 Customers,,,,1.0000,,,,,,
Replication 14,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,31.3235,,,,,(Insufficient),,31.3235,31.3235
Movie2SoldOutTime,,57.4040,,,,,(Insufficient),,57.4040,57.4040
Movie3SoldOutTime,,35.8199,,,,,(Insufficient),,35.8199,35.8199
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,0,,,,,,
Record Reneging Movie2 Customers,,,,1.0000,,,,,,
Record Reneging Movie3 Customers,,,,0,,,,,,
Replication 15,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,32.4798,,,,,(Insufficient),,32.4798,32.4798
Movie2SoldOutTime,,46.3306,,,,,(Insufficient),,46.3306,46.3306
Movie3SoldOutTime,,37.1732,,,,,(Insufficient),,37.1732,37.1732
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,1.0000,,,,,,
Record Reneging Movie2 Customers,,,,0,,,,,,
Record Reneging Movie3 Customers,,,,0,,,,,,
Replication 16,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,61.9965,,,,,(Insufficient),,61.9965,61.9965
Movie2SoldOutTime,,43.9351,,,,,(Insufficient),,43.9351,43.9351
Movie3SoldOutTime,,34.6864,,,,,(Insufficient),,34.6864,34.6864
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,0,,,,,,
Record Reneging Movie2 Customers,,,,2.0000,,,,,,
Record Reneging Movie3 Customers,,,,0,,,,,,
Replication 17,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,46.9873,,,,,(Insufficient),,46.9873,46.9873
Movie2SoldOutTime,,48.9312,,,,,(Insufficient),,48.9312,48.9312
Movie3SoldOutTime,,32.5517,,,,,(Insufficient),,32.5517,32.5517
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,0,,,,,,
Record Reneging Movie2 Customers,,,,0,,,,,,
Record Reneging Movie3 Customers,,,,1.0000,,,,,,
Replication 18,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,66.1634,,,,,(Insufficient),,66.1634,66.1634
Movie2SoldOutTime,,38.1804,,,,,(Insufficient),,38.1804,38.1804
Movie3SoldOutTime,,46.3512,,,,,(Insufficient),,46.3512,46.3512
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,3.0000,,,,,,
Record Reneging Movie2 Customers,,,,2.0000,,,,,,
Record Reneging Movie3 Customers,,,,0,,,,,,
Replication 19,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,33.9693,,,,,(Insufficient),,33.9693,33.9693
Movie2SoldOutTime,,42.7355,,,,,(Insufficient),,42.7355,42.7355
Movie3SoldOutTime,,44.4987,,,,,(Insufficient),,44.4987,44.4987
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,2.0000,,,,,,
Record Reneging Movie2 Customers,,,,2.0000,,,,,,
Record Reneging Movie3 Customers,,,,0,,,,,,
Replication 2,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,60.5489,,,,,(Insufficient),,60.5489,60.5489
Movie2SoldOutTime,,49.0586,,,,,(Insufficient),,49.0586,49.0586
Movie3SoldOutTime,,36.2594,,,,,(Insufficient),,36.2594,36.2594
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,3.0000,,,,,,
Record Reneging Movie2 Customers,,,,0,,,,,,
Record Reneging Movie3 Customers,,,,2.0000,,,,,,
Replication 20,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,24.7831,,,,,(Insufficient),,24.7831,24.7831
Movie2SoldOutTime,,36.2205,,,,,(Insufficient),,36.2205,36.2205
Movie3SoldOutTime,,46.2947,,,,,(Insufficient),,46.2947,46.2947
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,1.0000,,,,,,
Record Reneging Movie2 Customers,,,,1.0000,,,,,,
Record Reneging Movie3 Customers,,,,2.0000,,,,,,
Replication 21,Start Time:,0.00,Stop Time:,,120.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,48.5423,,,,,(Insufficient),,48.5423,48.5423
Movie2SoldOutTime,,71.3078,,,,,(Insufficient),,71.3078,71.3078
Movie3SoldOutTime,,54.7364,,,,,(Insufficient),,54.7364,54.7364
