Unnamed Project,,Replications:,30,,,,,,,
Replication 1,Start Time:,0.00,Stop Time:,,60.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,28.8001,,,,,(Insufficient),,28.8001,28.8001
Movie2SoldOutTime,,33.9458,,,,,(Insufficient),,33.9458,33.9458
Movie3SoldOutTime,,47.7339,,,,,(Insufficient),,47.7339,47.7339
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,1.0000,,,,,,
Record Reneging Movie2 Customers,,,,2.0000,,,,,,
Record Reneging Movie3 Customers,,,,2.0000,,,,,,
Replication 10,Start Time:,0.00,Stop Time:,,60.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,28.9749,,,,,(Insufficient),,28.9749,28.9749
Movie2SoldOutTime,,24.5111,,,,,(Insufficient),,24.5111,24.5111
Movie3SoldOutTime,,44.5517,,,,,(Insufficient),,44.5517,44.5517
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,1.0000,,,,,,
Record Reneging Movie2 Customers,,,,2.0000,,,,,,
Record Reneging Movie3 Customers,,,,0,,,,,,
Replication 11,Start Time:,0.00,Stop Time:,,60.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,23.5010,,,,,(Insufficient),,23.5010,23.5010
Movie2SoldOutTime,,27.8456,,,,,(Insufficient),,27.8456,27.8456
Movie3SoldOutTime,,24.9838,,,,,(Insufficient),,24.9838,24.9838
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,2.0000,,,,,,
Record Reneging Movie2 Customers,,,,3.0000,,,,,,
Record Reneging Movie3 Customers,,,,1.0000,,,,,,
Replication 12,Start Time:,0.00,Stop Time:,,60.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,31.9941,,,,,(Insufficient),,31.9941,31.9941
Movie2SoldOutTime,,22.9201,,,,,(Insufficient),,22.9201,22.9201
Movie3SoldOutTime,,42.4483,,,,,(Insufficient),,42.4483,42.4483
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,0,,,,,,
Record Reneging Movie2 Customers,,,,0,,,,,,
Record Reneging Movie3 Customers,,,,0,,,,,,
Replication 13,Start Time:,0.00,Stop Time:,,60.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,25.8861,,,,,(Insufficient),,25.8861,25.8861
Movie2SoldOutTime,,29.6775,,,,,(Insufficient),,29.6775,29.6775
Movie3SoldOutTime,,27.0717,,,,,(Insufficient),,27.0717,27.0717
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,0,,,,,,
Record Reneging Movie2 Customers,,,,2.0000,,,,,,
Record Reneging Movie3 Customers,,,,1.0000,,,,,,
Replication 14,Start Time:,0.00,Stop Time:,,60.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,28.6451,,,,,(Insufficient),,28.6451,28.6451
Movie2SoldOutTime,,27.3029,,,,,(Insufficient),,27.3029,27.3029
Movie3SoldOutTime,,56.2474,,,,,(Insufficient),,56.2474,56.2474
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,2.0000,,,,,,
Record Reneging Movie2 Customers,,,,0,,,,,,
Record Reneging Movie3 Customers,,,,1.0000,,,,,,
Replication 15,Start Time:,0.00,Stop Time:,,60.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,33.2172,,,,,(Insufficient),,33.2172,33.2172
Movie2SoldOutTime,,36.0777,,,,,(Insufficient),,36.0777,36.0777
Movie3SoldOutTime,,30.9579,,,,,(Insufficient),,30.9579,30.9579
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
Record Reneging Movie1 Customers,,,,4.0000,,,,,,
Record Reneging Movie2 Customers,,,,0,,,,,,
Record Reneging Movie3 Customers,,,,1.0000,,,,,,
Replication 16,Start Time:,0.00,Stop Time:,,60.00,Time Units:,Minutes,,,
Tally,,,,,,,,,,
Expression,Average,,Half Width,Minimum,Maximum,,,,,
Movie1SoldOutTime,,27.1429,,,,,(Insufficient),,27.1429,27.1429
Movie2SoldOutTime,,38.4441,,,,,(Insufficient),,38.4441,38.4441
Movie3SoldOutTime,,31.5399,,,,,(Insufficient),,31.5399,31.5399
Counter,,,,,,,,,,
Count,,Value,,,,,,,,
